"['😱', '😍']",3925
"['🤣', '🤣', '🤣']",3933
['♥️'],3936
"['🤦\u200d♂️', '🤦\u200d♂️', '🤦\u200d♂️']",3943
"['🔥', '🔥']",3948
['😅'],3949
"['🤢', '😓']",3950
"['😭', '😭', '😭', '😭', '😭', '😭', '😭']",3954
['❤️'],3956
['😏'],3964
"['😾', '📷']",3970
"['🙂', '😀', '👏', '👏']",3974
['🤣'],3978
"['👏', '👏', '👏']",3983
['🧡'],3986
"['🔴', '⚫']",3991
"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",3999
"['😌', '😔']",4000
"['😞', '❤️']",4003
"['🤗', '☕', '☀️', '🙌🏻', '🕊', '💛']",4005
"['🇮🇹', '🏆']",4008
['😶'],4010
"['😢', '😢']",4018
['🚁'],4019
"['⚫', '⚫']",4024
"['🙏', '💚']",4026
"['😂', '😂', '😂']",4031
['🤦\u200d♀️'],4034
"['🇪🇺', '🇮🇹']",4035
['⤵️'],4040
"['😉', '😉', '😉']",4043
"['🥰', '🥰']",4052
"['💤', '❤️']",4058
['🤔'],4063
['🇮🇹'],4069
"['👋', '🤣', '🤣', '🤣']",4072
['😳'],4075
"['😄', '😭', '😭', '😭']",4093
['🐷'],4105
"['🐺', '💛', '❤️']",4107
"['⬇️', '⬇️', '⬇️']",4108
['🤡'],4110
"['😳', '😳', '😳']",4127
['🤭'],4140
"['😂', '😂', '😂']",4166
"['🇺🇸', '🙏']",4174
"['🔜', '⏳', '✍️', '😂', '😂', '😂']",4178
"['❤️', '❤️', '❤️']",4180
"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",4186
['❤'],4189
"['🇪🇺', '🇪🇺']",4191
"['❤️', '👏', '👏', '⭐', '⭐', '⭐', '⭐', '⭐', '❤️']",4193
"['😅', '😅']",4194
['✨'],4198
['👑'],4201
"['🥳', '🥳', '🥳']",4215
['😅'],4226
['😱'],4233
['😊'],4237
"['😀', '😀', '😀']",4240
"['🍑', '🍆']",4262
['🤷'],4264
"['🥺', '💔', '💜', '💜', '💜']",4272
"['🤡', '🤡']",4277
"['💣', '💣', '💣', '💣', '💀', '💀', '💀', '💀', '💀', '😂', '😂', '😂', '😂', '😂', '😂']",4278
"['👍', '🌺']",4288
['👀'],4291
['😂'],4301
"['😂', '😂', '😂']",4307
"['😵', '🌹', '🌹', '🌹', '🌹', '🌹', '🌹', '👌']",4310
['🤠'],4313
"['🤍', '🖤']",4318
"['📺', '🇮🇹', '🇪🇺', '🔛']",4334
"['👏', '👏', '👏']",4343
['🥹'],4344
['😅'],4346
['👋'],4347
"['❤', '❤']",4350
"['🤬', '🤬', '🤬']",4354
"['🌺', '🎶', '🥰']",4357
['📝'],4360
['🤦'],4371
"['😂', '😂']",4379
['🙄'],4381
['😁'],4390
"['🇭🇷', '🇲🇦', '🇲🇦', '🇭🇷', '🇫🇷', '🇲🇦', '🇦🇷', '🇦🇷', '🇫🇷', '🇫🇷', '🇦🇷', '🇲🇦']",4399
['😅'],4404
['💜'],4405
"['👀', '👋']",4418
['🤣'],4423
"['🥰', '🥰', '🥰']",4425
['😆'],4434
"['👏', '👏', '👏', '👏', '👏', '👏', '👏']",4443
['😂'],4444
"['❤️', '👏']",4445
['😂'],4448
['😂'],4452
"['🐭', '🐭', '🐀', '😀']",4460
['🧠'],4461
